"inventory_id","part_num","color_id","quantity"
58,"3039pr0014",0,1
58,"3039pr0015",0,1
58,"30408pr0007",15,1
58,"3040b",288,8
58,"3040b",320,12
58,"3040b",71,11
58,"3040b",28,1
58,"30414",0,2
58,"30414",71,12
58,"30414",72,14
58,"3046a",72,2
58,"30503",0,4
58,"30565",71,6
58,"30565",72,4
58,"30565",320,2
58,"3062b",71,2
58,"3068b",71,2
58,"3068b",320,6
58,"3068b",288,2
58,"3068b",72,1
58,"3069b",71,14
58,"3069b",0,2
58,"3069b",320,2
58,"3069b",378,28
58,"3069bpr0070",0,1
58,"3070b",72,2
58,"3070b",72,2
58,"32000",0,1
58,"32001",0,2
58,"32009",0,2
58,"32016",71,4
58,"32018",0,2
58,"32028",71,18
58,"32054",4,16
58,"32059",378,2
58,"32064a",72,6
58,"32073",71,2
58,"32123b",14,2
58,"32123b",14,10
58,"32138",0,4
58,"32138",71,2
58,"32140",72,4
58,"32140",0,2
58,"32187",71,8
58,"32278",0,8
58,"32316",0,4
58,"32523",4,4
58,"32523",0,2
58,"32524",72,2
58,"32524",71,4
58,"32526",0,2
58,"32531",0,3
58,"32532",71,3
58,"32555",0,2
58,"3298",72,1
58,"3460",19,2
58,"3622",71,12
58,"3622",72,4
58,"3623",71,9
58,"3623",378,37
58,"3623",19,8
58,"3623",320,6
58,"3626cpr0854",78,1
58,"3626cpr1149",78,1
58,"3626cpr1531",78,1
58,"3626cpr1532",78,1
58,"3660",72,2
58,"3665",71,6
58,"3666",0,15
58,"3666",72,9
58,"3666",71,15
58,"3666",288,2
58,"3678b",71,4
58,"3700",71,4
58,"3700",0,12
58,"3701",71,1
58,"3701",1,2
58,"3702",71,7
58,"3702",0,2
58,"3703",71,2
58,"3706",0,4
58,"3708",0,1
58,"3709",72,10
58,"3709",0,2
58,"3710",72,21
58,"3710",288,4
58,"3710",71,30
58,"3710",320,4
58,"3710",0,7
58,"3713",71,6
58,"3713",71,1
58,"3738",0,2
58,"3743",71,2
58,"3749",19,2
58,"3794b",72,6
58,"3795",71,3
58,"3795",72,1
58,"3795",0,6
58,"3795",14,2
58,"3832",71,4
58,"3832",19,2
58,"3832",70,3
58,"3894",72,4
58,"3894",71,2
58,"3895",72,2
58,"3901",70,1
58,"3937",0,2
58,"3941",4,2
58,"3960",41,2
58,"4032a",1,3
58,"4032a",72,1
58,"40490",72,4
58,"41539",72,1
58,"4161",320,4
58,"4162",0,4
58,"41677",0,2
58,"41747",72,2
58,"41748",72,2
58,"41749",320,1
58,"41750",320,1
58,"41769",320,2
58,"41769",71,4
58,"41770",71,4
58,"41770",320,2
58,"41862",71,1
58,"42003",72,2
58,"42023",72,4
58,"42060",320,2
58,"42061",320,2
58,"4274",71,2
58,"4274",1,2
58,"4274",1,6
